id,sales_note,label
547,Inventory outage pls expedite shipping if possible,Urgent Need
548,Asked for customized sizing of the packaging.,Custom Spec
549,interest shown in 2025X prototype by client,New Product Demand
550,Request to modify packaging dimensions before shipment,Custom Spec
551,"Inventory running low, client requests immediate resupply.",Stocking Issue
552,Customized dimension required for part 780Y.,Custom Spec
553,"running low on supplies again, please arrange dispatch",Stocking Issue
554,Request to modify packaging dimensions before shipment,Custom Spec
555,warehouse almost out of stock for Model Y23,Stocking Issue
556,"running low on supplies again, please arrange dispatch",Stocking Issue
557,"Inventory running low, client requests immediate resupply.",Stocking Issue
558,They are requesting a repeat of the previous order.,Repeat Order
559,demo units requested to evaluate updated models,New Product Demand
560,Placing a repeat request for item series 100X.,Repeat Order
561,backorders increasing need quick replenishment,Stocking Issue
562,client needs same order as last month for product 450X,Repeat Order
563,"Backorders causing delays, need resupply ASAP.",Stocking Issue
564,interest shown in 2025X prototype by client,New Product Demand
565,Specification change: needs reinforced packaging.,Custom Spec
566,interest shown in 2025X prototype by client,New Product Demand
567,"Requesting rush shipping, shortage reported.",Urgent Need
568,"running low on supplies again, please arrange dispatch",Stocking Issue
569,warehouse almost out of stock for Model Y23,Stocking Issue
570,client needs same order as last month for product 450X,Repeat Order
571,Customizeddimension required for part 780y.,Custom Spec
572,demo units requested to evaluate updated models,New Product Demand
573,"Backorderscausing delays, need resupply ASAP.",Stocking Issue
574,They are requesting a repeat of the previous order.,Repeat Order
575,"Delivery needed immediately, client facing outage.",Urgent Need
576,Need urgent delivery due to market launch next week.,Urgent Need
577,Need 300 more of the units ordered last month.,Repeat Order
578,"Warehouse backorder increasing, please resupply.",Stocking Issue
579,needs reinforced handles on boxes for safety reason,Custom Spec
580,Exploring samples for a new product line.,New Product Demand
581,Repeat purchase request for Model 500Y,Repeat Order
582,interest shown in 2025X prototype by client,New Product Demand
583,critical shortage reported need shipment by next week,Urgent Need
584,"running low on supplies again, please arrange dispatch",Stocking Issue
585,critical shortage reported need shipment by next week,Urgent Need
586,"Inventoryrunning low, client requests immediate resupply.",Stocking Issue
587,"Inventory running low, client requests immediate resupply.",Stocking Issue
588,Stockoutreported for Model X1. ASAP,Stocking Issue
589,trial samples needed for our new eco friendly line,New Product Demand
590,Asked for customized sizing of the packaging.,Custom Spec
591,client needs same order as last month for product 450X,Repeat Order
592,"Backorders causing delays, need resupply asap.",Stocking Issue
593,Asked for customized sizing of the packaging.,Custom Spec
594,"Another batch required urgently, same spec as previous",Repeat Order
595,inventory outage pls expedite shipping if possible,Urgent Need
596,Request to modify packaging dimensions before shipment,Custom Spec
597,Exploring samples for a new product line. ASAP,New Product Demand
598,"Another batch required urgently, same spec as previous",Repeat Order
599,Stockout reported for Model X1.,Stocking Issue
600,"Requesting rush shipping, shortage reported.",Urgent Need
601,Request to modify packaging dimensions before shipment,Custom Spec
602,interest shown in 2025X prototype by client,New Product Demand
603,Request for custom color matching on containers.,Custom Spec
604,Trialorder to test new technology batch.,New Product Demand
605,Request to modify packaging dimensions before shipment,Custom Spec
606,Client needs same order as last month for product 450x,Repeat Order
607,Client exploring samples of 2024 line.,New Product Demand
608,trial samples needed for our new eco friendly line,New Product Demand
609,trial samples needed for our new eco friendly line,New Product Demand
610,Exploring samples for a new product line.,New Product Demand
611,custom size requested for container 560Z special handling needed,Custom Spec
612,warehouse almost out of stock for Model Y23,Stocking Issue
613,Trial order to test new technology batch.,New Product Demand
614,Placing a repeat request for item series 100x.,Repeat Order
615,"Backorderscausing delays, need resupply ASAP.",Stocking Issue
616,Stockout reported for Model X1.,Stocking Issue
617,Specification change: needs reinforced packaging.,Custom Spec
618,"Warehouse backorder increasing, please resupply. ASAP",Stocking Issue
619,They are requesting a repeat of the previous order.,Repeat Order
620,Critical shortage reported need shipment by next week,Urgent Need
621,They are requesting a repeat of the previous order.,Repeat Order
622,Request to modify packaging dimensions before shipment,Custom Spec
623,backorders increasing need quick replenishment,Stocking Issue
624,client needs same order as last month for product 450X,Repeat Order
625,"Backorders causing delays, need resupply ASAP.",Stocking Issue
626,needs reinforced handles on boxes for safety reason,Custom Spec
627,demo units requested to evaluate updated models,New Product Demand
628,"Backorders causing delays, need resupply ASAP.",Stocking Issue
629,Asked for customized sizing of the packaging.,Custom Spec
630,Asked for customized sizing of the packaging.,Custom Spec
631,"Delivery needed immediately, client facing outage.",Urgent Need
632,critical shortage reported need shipment by next week,Urgent Need
633,trial samples needed for our new eco friendly line,New Product Demand
634,Requestfor custom color matching on containers.,Custom Spec
635,Trial order to test new technology batch.,New Product Demand
636,Customized dimension required for part 780Y.,Custom Spec
637,Need 300 more of the units ordered last month.,Repeat Order
638,Stockout reported for Model X1.,Stocking Issue
639,They are requesting a repeat of the previous order.,Repeat Order
640,"Delivery needed immediately, client facing outage. ASAP",Urgent Need
641,Need urgent delivery due to market launch next week.,Urgent Need
642,"Inventoryrunning low, client requests immediate resupply.",Stocking Issue
643,Need urgent delivery due to market launch next week.,Urgent Need
644,demo units requested to evaluate updated models,New Product Demand
645,Rush request for product a45 due to customer escalation,Urgent Need
646,warehouse almost out of stock for Model Y23,Stocking Issue
647,Need 300 more of the units ordered last month.,Repeat Order
648,"Warehouse backorder increasing, please resupply.",Stocking Issue
649,Repeat purchase request for Model 500Y,Repeat Order
650,They are requesting a repeat of the previous order.,Repeat Order
651,"running low on supplies again, please arrange dispatch",Stocking Issue
652,demounits requested to evaluate updated models,New Product Demand
653,"Backorderscausing delays, need resupply ASAP.",Stocking Issue
654,Rush request for product A45 due to customer escalation,Urgent Need
655,"Inventory running low, client requests immediate resupply.",Stocking Issue
656,demo units requested to evaluate updated models,New Product Demand
657,Wants special coating on the exterior.,Custom Spec
658,interest shown in 2025X prototype by client,New Product Demand
659,Rush request for product A45 due to customer escalation,Urgent Need
660,Request to modify packaging dimensions before shipment,Custom Spec
661,Specification change: needs reinforced packaging.,Custom Spec
662,warehouse almost out of stock for Model Y23,Stocking Issue
663,"Requesting rush shipping, shortage reported.",Urgent Need
664,Placing a repeat request for item series 100X.,Repeat Order
665,"Another batch required urgently, same spec as previous ASAP",Repeat Order
666,Exploring samples for a new product line.,New Product Demand
667,Request to modify packaging dimensions before shipment,Custom Spec
